Category	Task	Status	Owner	Stage	Due date	Risk	Notes
Bug Hunting Campaign 2025	Upsell 10 - Write copy for each additional trigger	Completed	Tom Austin	During event	6/25/2025		
Bug Hunting Campaign 2025	Upsell 2.2.1 - Event trigger tweaks	Completed	Tom Austin	During event	6/25/2025		
Bug Hunting Campaign 2025	Upsell 11 - Review Modal Copy for both event triggers (2.1) and additional triggers (2.2)	Completed	Tom Austin				Please Review the copy
Bug Hunting Campaign 2025	New BH for HKPF's Vetting	Completed	quang@cyberbay.tech	Pre-event	6/27/2025		list of bounty Hunters ( Hong Kong ), already passed KYC from 20 May 2025 - 27 June 2025, 
Bug Hunting Campaign 2025	Merge Supporting account with participant's account	Completed	quang@cyberbay.tech	Pre-event	7/1/2025		"On-going
For the corporates that Andy already created support account.
 https://docs.google.com/spreadsheets/d/1g_l0jNk4FNBBlz-bGOmLocqVXfsMjyY3OnXdsq0_EIg/edit?gid=434141066#gid=434141066
Please merge the accounts (the corporate ID of supporting account and client signup should be the same)
e,g, BEHL is having 2 corporate id
034d9bb5-a730-4c1e-82f3-590e175a76c8
ff9a69a1-e388-422b-8887-8bcaf708ca9d"
Bug Hunting Campaign 2025	Enrol Previous participant to event code "protecthk2025"	Completed	quang@cyberbay.tech	Pre-event	6/30/2025		"please check of the list of participants had put on ""protecthk2025"" event code list.
https://docs.google.com/spreadsheets/d/1g_l0jNk4FNBBlz-bGOmLocqVXfsMjyY3OnXdsq0_EIg/edit?gid=434141066#gid=434141066
a98743e9-1cb7-4e4b-8503-c00eb081d740        
VANKE HOLDINGS (HONG KONG) COMPANY LIMITED
contacted and mentioned that they can only see 2024 records but not for 2025.
please advise after the update is done and i will get back to the client."
Bug Hunting Campaign 2025	Enrol Previous participant to event code "protecthk2025" - Cyberscan ONLY	Completed	quang@cyberbay.tech	Pre-event	6/30/2025		"please enrol the companies to ""protecthk2025"" in the list below, Column B is ""blank""
https://docs.google.com/spreadsheets/d/1g_l0jNk4FNBBlz-bGOmLocqVXfsMjyY3OnXdsq0_EIg/edit?gid=1663119289#gid=1663119289
Only cyberscan will be run for this list and NO mission will be set up.
please also check the duplicate records with different corp id, only one report for them should be fine.
for example:
9e5677ff-23d1-44fa-bb26-3987efd356fe        
Early Light Industrial Co Ltd        samuelyeung@earlylight.com.hk
23a1d204-3f0c-44ff-af2a-cc4902f13fbe        
Early Light Industrial Co., Ltd.        pennylam@earlylight.com.hk"
Bug Hunting Campaign 2025	Upselling popup	Completed	quang@cyberbay.tech	Pre-event	7/1/2025		
Bug Hunting Campaign 2025	Fix issue about Bug Hunting Streak page	Completed	quang@cyberbay.tech	During event	7/2/2025		
Bug Hunting Campaign 2025	Create URL and QR code 	Completed	quang@cyberbay.tech	Pre-event	7/2/2025		"1. Create URL and QR code for signup with:
Promo code: protecthk2025
Referral code: PCPD2025

2. Create URL and QR code for signup with:
Promo code: protecthk2025
Referral code: IGSL2025"
Bug Hunting Campaign 2025	Create URL and QR code 	In progress - Dev	quang@cyberbay.tech	Pre-event	7/7/2025		"1. Create URL and QR code for signup with:
Promo code: protecthk2025
Referral code: Sangfor2025

2. Create URL and QR code for signup with:
Promo code: protecthk2025
Referral code: Edvance2025"
Bug Hunting Campaign 2025	Create URL and QR code 	In progress - Dev	quang@cyberbay.tech	Pre-event	7/7/2025		"1. Create URL and QR code for signup with:
Promo code: protecthk2025
Referral code: ricoh2025

2. Create URL and QR code for signup with:
Promo code: protecthk2025
Referral code: bkpanda2025"
Bug Hunting Campaign 2025	Summarize Cyberscan reports	Completed	shaharyar Asgher	Pre-event	7/23/2025		
Bug Hunting Campaign 2025	Send emails to Batch 1 participants	Completed	shaharyar Asgher	Pre-event	7/18/2025		
Bug Hunting Campaign 2025	Create email templates for 180 old participants	Completed	shaharyar Asgher	Pre-event	7/16/2025		
Bug Hunting Campaign 2025	Send summarized version of Cyberscan reports to 180 old participants	Completed	quang@cyberbay.tech	Pre-event	7/23/2025		
							
